Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
5/24,Tuesday,73.0,59,0.18,"1,482","3,019","4,260","2,392","11,153"
5/25,Wednesday,87.1,64,0.00,"4,244","7,869","8,959","5,906","26,978"
5/26,Thursday,89.1,71.1,0.00,"3,887","7,037","8,231","5,451","24,606"
5/27,Friday,86.0,75,0.00,"3,302","5,670","7,054","4,592","20,618"
5/28,Saturday,90.0,72,0.00,"2,664","3,998","5,327","3,895","15,884"
5/29,Sunday,86.0,73,T,"3,193","4,154","4,918","3,635","15,900"
5/30,Monday,79.0,68,1.65,"1,719","2,750","3,759","2,689","10,917"
5/31,Tuesday,84.9,72,0.00,"3,948","7,016","7,957","5,556","24,477"
6/1,Wednesday,82.0,71.1,0.00,"4,126","7,565","9,028","5,823","26,542"
6/2,Thursday,75.9,63,0.00,"4,161","7,229","8,764","5,833","25,987"
6/3,Friday,70.0,64,0.04,"1,864","3,708","4,961","3,189","13,722"
6/4,Saturday,82.9,66.9,0.40,"3,134","4,840","6,051","4,193","18,218"
6/5,Sunday,70.0,64.9,0.91,918,"1,593","2,473","1,805","6,789"
6/6,Monday,82.0,66.9,0.00,"4,280","7,542","8,489","5,654","25,965"
6/7,Tuesday,84.0,71.1,T,"3,956","7,319","8,527","5,447","25,249"
6/8,Wednesday,66.0,52,0.45,"2,630","5,266","6,325","4,094","18,315"
6/9,Thursday,71.1,54,0.00,"3,733","6,933","7,913","5,017","23,596"
6/10,Friday,75.9,57,0.00,"3,932","6,697","8,077","5,079","23,785"
6/11,Saturday,87.1,63,0.00,"2,507","4,086","5,632","3,661","15,886"
6/12,Sunday,82.0,66.9,0.00,"2,684","4,475","5,513","3,855","16,527"
6/13,Monday,73.9,57.9,0.00,"3,696","6,952","7,913","5,108","23,669"
6/14,Tuesday,79.0,59,0.00,"4,075","7,751","8,942","5,600","26,368"
6/15,Wednesday,84.0,64.9,0.00,"3,966","7,559","9,037","5,840","26,402"
6/16,Thursday,72.0,66,0.22,"3,373","5,196","6,184","3,633","18,386"
6/17,Friday,75.9,66,0.00,"5,354","6,589","8,106","5,179","25,228"
6/18,Saturday,86.0,64,0.00,"4,804","5,077","6,344","4,309","20,534"
6/19,Sunday,87.1,68,0.00,"4,135","4,622","5,339","4,000","18,096"
6/20,Monday,82.0,66.9,0.00,"4,057","7,049","8,297","5,334","24,737"
6/21,Tuesday,86.0,72,T,"3,773","6,851","9,008","4,969","24,601"
6/22,Wednesday,84.0,69.1,0.00,"4,428","7,495","8,788","5,680","26,391"
6/23,Thursday,81.0,69.1,0.00,"3,580","6,204","7,660","5,066","22,510"
6/24,Friday,82.9,70,0.00,"4,283","6,660","7,925","5,572","24,440"
6/25,Saturday,84.9,66.9,0.00,"3,577","4,835","6,441","4,618","19,471"
6/26,Sunday,86.0,69.1,0.00,"2,895","4,767","5,834","4,050","17,546"
6/27,Monday,82.9,69.1,0.45,"3,985","6,571","7,557","5,315","23,428"
6/28,Tuesday,75.0,69.1,0.12,"3,004","4,813","6,400","4,410","18,627"
6/29,Wednesday,82.0,68,0.01,"4,066","7,142","8,594","5,994","25,796"
6/30,Thursday,84.0,68,0.00,"3,413","7,046","8,374","5,907","24,740"
7/1,Friday,78.1,70,0.83,"2,399","4,084","5,356","4,254","16,093"
7/2,Saturday,75.0,64.9,0.00,"2,710","4,017","5,270","3,973","15,970"
7/3,Sunday,77.0,66.9,0.00,"2,892","3,699","4,804","3,388","14,783"
7/4,Monday,82.9,68,0.49,"2,066","3,274","3,666","2,998","12,004"
7/5,Tuesday,86.0,71.1,0.66,"2,993","4,827","6,156","4,310","18,286"
7/6,Wednesday,91.0,77,0.00,"3,942","6,608","8,135","5,807","24,492"
7/7,Thursday,88.0,78.1,0.04,"3,340","5,295","7,049","5,118","20,802"
7/8,Friday,84.9,72,0.08,"3,026","4,927","6,289","4,740","18,982"
7/9,Saturday,72.0,66,0.53,"2,242","3,465","5,167","3,478","14,352"
7/10,Sunday,79.0,66.9,T,"3,493","4,736","5,495","3,938","17,662"
7/11,Monday,80.1,66,0.00,"4,214","7,230","8,601","5,880","25,925"
7/12,Tuesday,82.4,69.8,0.00,"5,152","7,745","9,148","6,392","28,437"
7/13,Wednesday,82.9,73,0.00,"5,885","6,926","8,564","6,204","27,579"
7/14,Thursday,87.1,75,0.62,"8,264","5,641","7,010","5,084","25,999"
7/15,Friday,87.1,80.1,0.00,"6,834","5,236","6,844","5,347","24,261"
7/16,Saturday,89.1,77,T,"5,293","3,663","4,878","4,010","17,844"
7/17,Sunday,89.1,75.9,0.00,"4,597","4,460","4,993","4,067","18,117"
7/18,Monday,91.9,73,0.35,"5,464","5,089","6,580","4,895","22,028"
7/19,Tuesday,82.9,73.9,0.00,"4,125","6,965","8,548","6,217","25,855"
7/20,Wednesday,82.9,70,0.00,"4,140","7,315","8,751","6,382","26,588"
7/21,Thursday,89.1,72,0.00,"4,057","6,887","8,284","6,056","25,284"
7/22,Friday,93.9,75,0.00,"3,218","5,178","6,865","5,115","20,376"
7/23,Saturday,96.1,81,0.00,"2,580","3,315","4,764","3,881","14,540"
